# generated: 2026-08-04T17:29:43+00:00
# source: OpenAlex (https://openalex.org, CC0)
# query: decentralized training|federated learning|multi-agent coordination|embodied AI
# from_year: 2005
# reliable_cutoff_year: 2024
# sample: works_per_year=80; max_refs_per_work=50; cluster=title_and_abstract.search; ci=cluster_bootstrap(resample=works,iters=500,seed=42); note=first_time_authors intentionally blank (needs per-author history)
year,field_works,all_works,corpus_share_per_100k,first_time_authors,idea_vintage_median_years,vintage_ci_lo,vintage_ci_hi,n_refs_sampled,n_works_sampled,reliable
2005,463,5466973,8.469,,5,4,6,887,52,1
2006,540,5973170,9.04,,6.0,5,6,670,46,1
2007,458,6497078,7.049,,5.0,5.0,7.0,1042,53,1
2008,597,6945094,8.596,,6.0,5,7,1082,53,1
2009,630,7560918,8.332,,7.0,5.0,8,898,53,1
2010,652,8099817,8.05,,7.0,5.5,8,1110,57,1
2011,665,8675357,7.665,,7.0,6.0,8,1052,49,1
2012,644,8966607,7.182,,7,5,8,961,43,1
2013,673,9420313,7.144,,7.0,6.0,8.0,790,44,1
2014,693,9971255,6.95,,8,7,9,1257,53,1
2015,665,10192717,6.524,,8.0,6.0,9,1366,59,1
2016,707,10584719,6.679,,6.5,5.0,8.0,1308,48,1
2017,742,10450024,7.1,,7.0,6.0,8,1190,57,1
2018,928,10390069,8.932,,6,5,8,841,45,1
2019,1451,10762431,13.482,,5,4,7,1619,60,1
2020,2838,11455465,24.774,,3.0,3,4,1742,67,1
2021,5008,10770859,46.496,,4.0,3,5.0,1662,60,1
2022,7054,10244881,68.854,,3,3,4,1485,55,1
2023,10663,10834949,98.413,,3.0,3.0,4,1526,59,1
2024,14901,10713732,139.083,,4.0,3.0,4,1454,53,0
2025,27627,14980023,184.426,,3.0,2.0,4,866,46,0
2026,28842,28604770,100.829,,4,3,6,765,30,0
