# generated: 2026-08-04T17:17:56+00:00
# source: OpenAlex (https://openalex.org, CC0)
# query: content addressing|peer-to-peer network|censorship resistance|decentralized storage
# from_year: 2005
# reliable_cutoff_year: 2024
# sample: works_per_year=80; max_refs_per_work=50; cluster=title_and_abstract.search; ci=cluster_bootstrap(resample=works,iters=500,seed=42); note=first_time_authors intentionally blank (needs per-author history)
year,field_works,all_works,corpus_share_per_100k,first_time_authors,idea_vintage_median_years,vintage_ci_lo,vintage_ci_hi,n_refs_sampled,n_works_sampled,reliable
2005,6037,5466973,110.427,,6,4.0,8,1117,51,1
2006,7143,5973170,119.585,,4.0,4.0,5.0,1190,56,1
2007,7632,6497078,117.468,,6,5.0,7,965,47,1
2008,8458,6945094,121.784,,6.0,5.0,7,1204,56,1
2009,9512,7560918,125.805,,6,5,7.0,1273,56,1
2010,10331,8099817,127.546,,6.0,5,7.0,1134,50,1
2011,11083,8675357,127.753,,6,6.0,7.0,1413,57,1
2012,12082,8966607,134.744,,7.0,6.0,8,1512,55,1
2013,12585,9420313,133.594,,6,5,7.0,1535,57,1
2014,13599,9971255,136.382,,6.0,6.0,7,1426,56,1
2015,14004,10192717,137.392,,6.0,5,7.0,1568,59,1
2016,15019,10584719,141.893,,7,6.0,9.0,1343,48,1
2017,15785,10450024,151.052,,7.0,6.0,8.0,1262,46,1
2018,17743,10390069,170.769,,7,6,9.0,1391,51,1
2019,19829,10762431,184.243,,8,6,9.5,1299,47,1
2020,23041,11455465,201.135,,6,5,7,1377,50,1
2021,23439,10770859,217.615,,7,6,8.0,1525,53,1
2022,23344,10244881,227.86,,6.0,5.0,8.0,1916,58,1
2023,30555,10834949,282.004,,6,5,8.0,1519,53,1
2024,44998,10713732,420.003,,6.0,5.0,7.0,1486,54,0
2025,72761,14980023,485.72,,7.0,6.0,9.0,1496,49,0
2026,58182,28604770,203.4,,7.0,5.0,9.0,884,24,0
