# generated: 2026-08-05T21:31:10+00:00
# source: OpenAlex (https://openalex.org, CC0)
# query: mechanism design|public goods funding|quadratic funding|digital public infrastructure
# from_year: 2005
# reliable_cutoff_year: 2024
# sample: works_per_year=80; max_refs_per_work=50; cluster=title_and_abstract.search; note=first_time_authors intentionally blank (needs per-author history)
year,field_works,all_works,corpus_share_per_100k,first_time_authors,idea_vintage_median_years,vintage_ci_lo,vintage_ci_hi,n_refs_sampled,reliable
2005,15479,5467014,283.134,,6,6,7,885,1
2006,18013,5973060,301.571,,6,6,6,1259,1
2007,18852,6497140,290.158,,6,5,6,1359,1
2008,21182,6945135,304.99,,6.0,6.0,7.0,1248,1
2009,23134,7561029,305.964,,6,6,7,1423,1
2010,25666,8099731,316.875,,6.0,6.0,7.0,1218,1
2011,28299,8675456,326.196,,7.0,6.0,7.0,1484,1
2012,29379,8966620,327.649,,7.0,7.0,7.0,1400,1
2013,31919,9420404,338.828,,6,6,7,1367,1
2014,33755,9971270,338.523,,7.0,7.0,8.0,1556,1
2015,34382,10192661,337.321,,7,6,7,1573,1
2016,35701,10584640,337.291,,7,7,8,1605,1
2017,38209,10449786,365.644,,7,7,8,1591,1
2018,42761,10390067,411.557,,7.0,6.0,7.0,1714,1
2019,46663,10762259,433.58,,7.0,7.0,7.0,1710,1
2020,53437,11455499,466.475,,8,7,8,2085,1
2021,58490,10770199,543.073,,6,6,7,2153,1
2022,62868,10244386,613.682,,6.0,6.0,6.0,2202,1
2023,75427,10834591,696.168,,7.0,7.0,8.0,1930,1
2024,92825,10714427,866.355,,7,7,8,2255,0
2025,171123,14982055,1142.186,,5,5,6,1539,0
2026,179012,28679478,624.182,,6,5,7,1247,0
