# generated: 2026-08-04T17:40:40+00:00
# source: OpenAlex (https://openalex.org, CC0)
# query: brain-computer interface|connectome|neural implant|whole brain emulation
# from_year: 2000
# reliable_cutoff_year: 2024
# sample: works_per_year=80; max_refs_per_work=50; cluster=title_and_abstract.search; ci=cluster_bootstrap(resample=works,iters=500,seed=42); note=first_time_authors intentionally blank (needs per-author history)
year,field_works,all_works,corpus_share_per_100k,first_time_authors,idea_vintage_median_years,vintage_ci_lo,vintage_ci_hi,n_refs_sampled,n_works_sampled,reliable
2000,295,3809663,7.743,,6.0,5,6,1434,51,1
2001,294,3816660,7.703,,6,5,7.0,1223,50,1
2002,441,4431913,9.951,,7,6.0,8.0,1435,65,1
2003,490,4721734,10.378,,5.0,4.0,7.0,960,49,1
2004,606,5123742,11.827,,5.0,5,6.0,1120,49,1
2005,812,5466973,14.853,,5.0,5.0,6,1452,56,1
2006,898,5973170,15.034,,5,4.0,6.0,947,47,1
2007,1112,6497078,17.115,,7.0,5,7.0,1268,53,1
2008,1235,6945094,17.782,,6.0,5.0,6,1394,56,1
2009,1481,7560918,19.588,,6.0,5.0,7.0,1468,62,1
2010,1576,8099817,19.457,,6.0,5.0,7,1694,62,1
2011,1853,8675357,21.359,,6,5,7,1661,56,1
2012,2016,8966607,22.483,,6.0,5,6,1730,57,1
2013,2572,9420313,27.303,,6,5.0,6,1711,66,1
2014,2742,9971255,27.499,,6.0,5.0,7.0,1516,63,1
2015,3015,10192717,29.58,,7.0,6.0,8,1390,55,1
2016,3471,10584719,32.793,,6,5,7,1677,54,1
2017,3609,10450024,34.536,,7.0,6,8,1974,64,1
2018,4080,10390069,39.268,,8,7.0,9.0,2023,62,1
2019,4384,10762431,40.734,,7,7,8.0,1889,61,1
2020,5016,11455465,43.787,,8,7,9,2083,59,1
2021,5495,10770859,51.017,,8,7,9,2371,57,1
2022,5678,10244881,55.423,,9.0,8.0,10.0,2292,64,1
2023,6162,10834949,56.872,,9,8,10.0,2145,59,1
2024,7042,10713732,65.729,,8.0,7.0,10.0,1922,54,0
2025,9154,14980023,61.108,,7.0,6.0,9,1790,55,0
2026,7794,28604770,27.247,,8,6,9.0,1151,34,0
